選挙区,定員,立候補者氏名,"立候補者氏名
（かな）",性別,年齢,党派,新 現 元,ウェブサイト
,,鈴木あきひろ,すずき　あきひろ,男,54,自由民主党,現,http://www.akihiro3708.com
,,沢田大作,さわだ　だいさく,男,38,民進党,新,http://d139.jp
,,栗下善行,くりした　ぜんこう,男,34,都民ファーストの会,元,http://kurishitazenko.jp
,,やながせ裕文,やながせ　ひろふみ,男,42,日本維新の会,現,http://www.yanagase.org
,,飯田佳宏,いいだ　よしひろ,男,44,地方議員ゼロの会,新,なし
,,佐藤伸,さとう　しん,男,43,日本共産党,新,http://www.shin310.net/
,,井出鬼子雄,いで　きしお,男,76,無所属,新,なし
世田谷区,,,,,,,,
,,ふじた孝行,ふじた　たかゆき,男,47,無所属,新,http://www.世田谷区ふじた孝行.tokyo/
,,栗林のり子,くりばやし　のりこ,女,63,公明党,現,http://kurinori.net
,,桜井純子,さくらい　じゅんこ,女,53,社会民主党,新,http://www.sakuraijunko.com
,,山口拓,やまぐち　たく,男,44,民進党,元,http://www.taku.jp
,,小松ダイスケ,こまつ　だいすけ,男,39,自由民主党,現,http://komatsudaisuke.com
,,川合善大,かわい　よしお,男,69,無所属,新,http://www.kw224.com
,,伊沢浩美,いざわ　ひろみ,女,52,地方議員ゼロの会,新,https://www.chihougiinzero-no-kai.com
,,後藤雄一,ごとう　ゆういち,男,67,行革110番,元,http://www.gyoukaku110ban.jp
,,ひえしま進,ひえしま　すすむ,男,40,日本維新の会,新,http://hieshimasusumu.jp/
,,マック赤坂,まっくあかさか,男,68,無所属,新,http://smileparty.info
,,岡本京子,おかもと　きょうこ,女,59,東京・生活者ネットワーク,新,http://okamoto.seikatsusha.me/
,,福島りえこ,ふくしま　りえこ,女,46,都民ファーストの会,新,https://www.facebook.com/tomin1setagaya.tokyo
,,木村基成,きむら　もとなり,男,47,都民ファーストの会,現,http://www.motonari-kimura.info
,,里吉ゆみ,さとよし　ゆみ,女,50,日本共産党,現,http://www.jcp-setagaya.jp/satoyosi/
,,三浦しずか,みうら　しずか,女,64,無所属,新,http://miurashizuka.jp/
,,大場やすのぶ,おおば　やすのぶ,男,69,自由民主党,現,http://yasunobu-oba.jp
,,森ふみお,もり　ふみお,男,69,無所属,新,なし
,,三宅しげき,みやけ　しげき,男,67,自由民主党,現,http://www.miyake.setagaya.tokyo.jp
渋谷区,,,,,,,,
,,浜田ひろき,はまだ　ひろき,男,39,民進党,新,http://hamada.to/
,,大津ひろ子,おおつ　ひろこ,女,57,無所属,現,http://www.o2net.jp
,,龍円あいり,りゅうえん　あいり,女,40,都民ファーストの会,新,http://airi-ryuen.com/
,,前田かずしげ,まえだ　かずしげ,男,47,自由民主党,現,http://maekaz.com
,,おりかさ裕治,おりかさ　ゆうじ,男,59,日本共産党,新,なし
中野区,,,,,,,,
,,荒木ちはる,あらき　ちはる,女,35,都民ファーストの会,新,http://araki-chiharu.com
,,西沢けいた,にしざわ　けいた,男,37,民進党,現,http://24zawa.jp
,,しらかし貴子,しらかし　たかこ,女,33,幸福実現党,新,http://sirakashi.net/
,,浦野さとみ,うらの　さとみ,女,36,日本共産党,新,http://urano-satomi.jp
,,高倉良生,たかくら　りょうせい,男,60,公明党,現,http://www.komei.or.jp/km/takakura-ryosei/
,,川井しげお,かわい　しげお,男,69,自由民主党,現,http://kawai-shigeo.jp
杉並区,,,,,,,,
,,田中朝子,たなか　あさこ,女,57,民進党,現,http://tanakaasako.com
,,小松久子,こまつ　ひさこ,女,64,東京・生活者ネットワーク,現,http://komatsu.seikatsusha.me/
,,あかねがくぼかよ子,あかねがくぼ　かよこ,女,41,都民ファーストの会,新,http://a-kayo.com
,,原田あきら,はらだ　あきら,男,42,日本共産党,新,http://www.yuiyuidori.net/jcpskd-harada/
,,高橋しょうご,たかはし　しょうご,男,33,無所属,新,http://ameblo.jp/shogotakahashi-tosei
,,北島くにひこ,きたじま　くにひこ,男,57,都政を革新する会,新,http://www.tokakushin.org/wp/
,,小宮あんり,こみや　あんり,女,41,自由民主党,現,http://www.komiya-anri.com/
,,西村まさみ,にしむら　まさみ,女,53,民進党,新,http://www.nishimura-masami.tokyo
,,まつば多美子,まつば　たみこ,女,54,公明党,現,http://www.tamichan.net/
,,鳥居こうすけ,とりい　こうすけ,男,46,都民ファーストの会,新,https://www.toriikosuke.info
,,早坂よしひろ,はやさか　よしひろ,男,48,自由民主党,現,http://www.tokyo-hayasaka.com
,,菅沢治希,すがさわ　はるき,男,34,地方議員ゼロの会,新,https://www.chihougiinzero-no-kai.com
豊島区,,,,,,,,
,,泉谷つよし,いづみや　つよし,男,51,民進党,元,なし
