選挙区,定員,立候補者氏名,"立候補者氏名（かな）",性別,年齢,党派,新 現 元,ウェブサイト,Twitter URL,Facebook ID,YouTube URL,Instagram ID,Google+ URL,処理エラー
,,白戸太朗,しらと　たろう,男,50,都民ファーストの会,新,http://www.shiratotaro.com ,https://twitter.com/maidotaro,https://www.facebook.com/groups/1315443538574344/,,,,
,,高橋めぐみ,たかはし　めぐみ,女,48,自由民主党,新,http://megutaka.jp/,https://twitter.com/takahashimegumi,https://www.facebook.com/megumi.takahashi.37454,,,,
,,細田いさむ,ほそだ　いさむ,男,56,公明党,新,http://www.isamu-hosoda.jp/,,https://www.facebook.com/hosoda.isamu/,,,,
,,やまざき一輝,やまざき　いっき,男,44,自由民主党,現,http://www.ikki-y.jp/,,https://www.facebook.com/YAMAZAKI.ikki/,,https://www.instagram.com/ikki.yamazaki/,,
,,柿沢ゆきえ,かきざわ　ゆきえ,女,47,無所属,現,http://nogamiyukie.com/,https://twitter.com/nogamiyukie,,,,,
,,大沢のぼる,おおさわ　のぼる,男,52,民進党,元,http://www.0038.jp,,https://www.facebook.com/noboru.osawa.52,,,,
,,古賀美子,こが　よしこ,女,48,無所属,新,https://lineblog.me/casinomimi/,,,,,,
,,あぜ上三和子,あぜがみ　みわこ,女,61,日本共産党,現,http://azegami-miwako-jcp.info/,https://twitter.com/@miwako_azegami,http://www.facebook.com/%E6%97%A5%E6%9C%AC%E5%85%B1%E7%94%A3%E5%85%9A-%E3%81%82%E3%81%9C%E4%B8%8A%E4%B8%89%E5%92%8C%E5%AD%90-221106978332022/,https://www.youtube.com/channel/UCSQzCUN9cW_u5pOw-Xw5c3Q,,,
,,表なつこ,おもて　なつこ,女,33,幸福実現党,新,http://www.omote-natsuko.com,,,,,,
品川区,,,,,,,,,,,,,,
,,田中たけし,たなか　たけし,男,54,自由民主党,現,http://tanaka-takeshi.com,,,,,,
,,白石たみお,しらいし　たみお,男,35,日本共産党,現,http://S-tamio.net,https://twitter.com/tamioshiraishi,https://www.facebook.com/jcp.shiraishi.tamio/,https://www.youtube.com/user/shiraishitamio/videos?shelf_id=0&view=0&sort=dd,,,
,,もりさわ恭子,もりさわ　きょうこ,女,38,都民ファーストの会,新,http://kyokomorisawa.jp,,https://www.facebook.com/kyokomorisawa2017,,,,
,,沢田ひろかず,さわだ　ひろかず,男,36,自由民主党,新,http://www.sawada-hirokazu.com,https://twitter.com/SawadaHirokazu,https://www.facebook.com/hirokazu800815/,,https://www.instagram.com/hirokazu800815/?hl=ja,,
,,伊藤こういち,いとう　こういち,男,56,公明党,現,http://www.koichi-ito.net,,,,,,
,,あべ祐美子,あべ　ゆみこ,女,52,民進党,新,http://www.abeyumiko.com,https://twitter.com/abe_shinagawa,https://www.facebook.com/abeyumiko.shinagawa/,,,,
,,山内あきら,やまうち　あきら,男,48,都民ファーストの会,現,http://www.a-yamauchi.com,https://twitter.com/@akira_yamauchi8,https://www.facebook.com/akira.yamauchi.2407,,,,
目黒区,,,,,,,,,,,,,,
,,斉藤やすひろ,さいとう　やすひろ,男,54,公明党,現,http://www.saitou-yasuhiro.com/,https://twitter.com/yasuhirosaitou,https://www.facebook.com/saito.yasuhiro.meguro/,https://www.youtube.com/user/saitouchannel,,,
,,星見てい子,ほしみ　ていこ,女,59,日本共産党,新,http://kouho.jcp-tokyo.net/hoshimi,https://twitter.com/hoshimiteiko,https://www.facebook.com/teiko.hosimi,,,,
,,鈴木隆道,すずき　たかみち,男,66,自由民主党,現,http://s-takamichi.com/,,,,,,
,,伊藤ゆう,いとう　ゆう,男,40,都民ファーストの会,元,http://www.itoyuu.tokyo/,,,,,,
,,栗山よしじ,くりやま　よしじ,男,47,自由民主党,現,http://kuriyama-yoshiji.com/,,https://www.facebook.com/profile.php?id=100009546672747,,,,
大田区,,,,,,,,,,,,,,
,,藤井一,ふじい　はじめ,男,63,公明党,現,http://www.hajimeclub.net/,https://twitter.com/komei_koho,https://www.facebook.com/hajime.fujii.773,https://www.youtube.com/user/Newkomeito,,,
,,みぞぐち晃一,みぞぐち　こういち,男,48,無所属,新,http://www.koichi-mizoguchi.com,,,,,,
,,藤田りょうこ,ふじた　りょうこ,女,42,日本共産党,新,http://r-fujita.jcp-ota.jp/,https://twitter.com/ryokofujitajcp,,,,,
,,神林茂,かみばやし　しげる,男,64,自由民主党,現,http://www.s-kamibayashi-senkyo.com,https://twitter.com/kamibayashi210,https://www.facebook.com/groups/1743869689250587/,,,,
,,もり愛,もり　あい,女,40,都民ファーストの会,新,http://www.spyros.tokyo/moriai/moriaiHP/,,https://www.facebook.com/moriai.net/,,,,
,,すどうえいじ,すどう　えいじ,男,48,無所属,新,http://www3.point.ne.jp/~dh18eberharter,http://twitter.com/sudoeiji,https://www.facebook.com/eiji.sudo.1,,,,
,,鈴木あきまさ,すずき　あきまさ,男,59,自由民主党,現,http://www.akimasa.info,,,,,,
,,遠藤守,えんどう　まもる,男,50,公明党,現,http://endomamoru.com/,,https://www.facebook.com/profile.php?id=100010235494142,,,,
,,鈴木あきひろ,すずき　あきひろ,男,54,自由民主党,現,http://www.akihiro3708.com,,https://www.facebook.com/Akihiro.s3708?fref=ts,,,,
,,沢田大作,さわだ　だいさく,男,38,民進党,新,http://d139.jp,https://twitter.com/d139_jp,https://www.facebook.com/d139.jp/,,,,
,,栗下善行,くりした　ぜんこう,男,34,都民ファーストの会,元,http://kurishitazenko.jp,https://twitter.com/zkurishi,,,,,
,,やながせ裕文,やながせ　ひろふみ,男,42,日本維新の会,現,http://www.yanagase.org,https://twitter.com/yanagase_ootaku,https://www.facebook.com/yanagasehirofumi,http://www.youtube.com/user/YanagaseChannel,,,
,,飯田佳宏,いいだ　よしひろ,男,44,地方議員ゼロの会,新,なし,,,,,,
,,佐藤伸,さとう　しん,男,43,日本共産党,新,http://www.shin310.net/,https://twitter.com/shinsato0302,http://www.facebook.com/share.php?u=http://www.shin310.net/,,,,
,,井出鬼子雄,いで　きしお,男,76,無所属,新,なし,,,,,,
世田谷区,,,,,,,,,,,,,,
,,ふじた孝行,ふじた　たかゆき,男,47,無所属,新,http://www.世田谷区ふじた孝行.tokyo/,,https://www.facebook.com/takayuki.fujita.SETAGAYA/,,,,
,,栗林のり子,くりばやし　のりこ,女,63,公明党,現,http://kurinori.net,https://twitter.com/kurinori_tokyo,https://www.facebook.com/kuribayashi.noriko.1,,,,
,,桜井純子,さくらい　じゅんこ,女,53,社会民主党,新,http://www.sakuraijunko.com,,,,,,
,,山口拓,やまぐち　たく,男,44,民進党,元,http://www.taku.jp,https://twitter.com/taku_yamaguchi,https://www.facebook.com/taku.yamaguchi.setagaya/,,https://www.instagram.com/yamaguchitaku/,,
,,小松ダイスケ,こまつ　だいすけ,男,39,自由民主党,現,http://komatsudaisuke.com,https://twitter.com/komatsu_daisuke,https://www.facebook.com/komatsu.daisuke.official/,,,,
,,川合善大,かわい　よしお,男,69,無所属,新,http://www.kw224.com,,,,,,
,,伊沢浩美,いざわ　ひろみ,女,52,地方議員ゼロの会,新,https://www.chihougiinzero-no-kai.com,,,,,,
,,後藤雄一,ごとう　ゆういち,男,67,行革110番,元,http://www.gyoukaku110ban.jp,,,,,,
,,ひえしま進,ひえしま　すすむ,男,40,日本維新の会,新,http://hieshimasusumu.jp/,https://twitter.com/hieshima_susumu,https://www.facebook.com/hieshimasusumutokyo,,,,
,,マック赤坂,まっくあかさか,男,68,無所属,新,http://smileparty.info,,,,,,
,,岡本京子,おかもと　きょうこ,女,59,東京・生活者ネットワーク,新,http://okamoto.seikatsusha.me/,https://twitter.com/okamotonet,,,,,
,,福島りえこ,ふくしま　りえこ,女,46,都民ファーストの会,新,https://www.facebook.com/tomin1setagaya.tokyo,,https://www.facebook.com/tomin1setagaya.tokyo#,,,,
,,木村基成,きむら　もとなり,男,47,都民ファーストの会,現,http://www.motonari-kimura.info,,https://ja-jp.facebook.com/kimura.motonari/,,,,
,,里吉ゆみ,さとよし　ゆみ,女,50,日本共産党,現,http://www.jcp-setagaya.jp/satoyosi/,https://twitter.com/yumisatoyoshi?lang=ja,https://www.facebook.com/yumi.satoyoshi,https://www.youtube.com/channel/UCz6R6mbXuxCDSrEP8a5i9iw,,,
,,三浦しずか,みうら　しずか,女,64,無所属,新,http://miurashizuka.jp/,https://twitter.com/shibuyasailors,https://www.facebook.com/shibuya.sailors/,,,,
,,大場やすのぶ,おおば　やすのぶ,男,69,自由民主党,現,http://yasunobu-oba.jp,,http://www.facebook.com/yasunobu.ohba,,,,
,,森ふみお,もり　ふみお,男,69,無所属,新,なし,,,,,,
,,三宅しげき,みやけ　しげき,男,67,自由民主党,現,http://www.miyake.setagaya.tokyo.jp,,http://www.facebook.com/MiyakeShigeki,,,,
渋谷区,,,,,,,,,,,,,,
,,浜田ひろき,はまだ　ひろき,男,39,民進党,新,http://hamada.to/,,,,,,
,,大津ひろ子,おおつ　ひろこ,女,57,無所属,現,http://www.o2net.jp,,http://www.facebook.com/o2hiroko,,,,
,,龍円あいり　,りゅうえん　あいり,女,40,都民ファーストの会,新,http://airi-ryuen.com/,,https://www.facebook.com/airi.ryuen.shibuya/,,,,
,,前田かずしげ,まえだ　かずしげ,男,47,自由民主党,現,http://maekaz.com,https://twitter.com/nonnokokazun,https://www.facebook.com/maeda.kazushige.tokyo,,,,
,,おりかさ裕治,おりかさ　ゆうじ,男,59,日本共産党,新,なし,,,,,,
中野区,,,,,,,,,,,,,,
,,荒木ちはる,あらき　ちはる,女,35,都民ファーストの会,新,http://araki-chiharu.com,https://twitter.com/@araki_chiharu,https://www.facebook.com/chiharu.araki.52,,,,
,,西沢けいた,にしざわ　けいた,男,37,民進党,現,http://24zawa.jp,https://twitter.com/nishizawakeita,https://www.facebook.com/keita.nishizawa.9/,,https://www.instagram.com/keita_nishizawa/,,
,,しらかし貴子,しらかし　たかこ,女,33,幸福実現党,新,http://sirakashi.net/,,,,,,
,,浦野さとみ,うらの　さとみ,女,36,日本共産党,新,http://urano-satomi.jp,https://twitter.com/urano_satomi,https://www.facebook.com/urano.satomi?ref=tn_tnmn,,,,
,,高倉良生,たかくら　りょうせい,男,60,公明党,現,http://www.komei.or.jp/km/takakura-ryosei/,https://twitter.com/tryosei,,,,,
,,川井しげお,かわい　しげお,男,69,自由民主党,現,http://kawai-shigeo.jp,,,,,,
杉並区,,,,,,,,,,,,,,
,,田中朝子,たなか　あさこ,女,57,民進党,現,http://tanakaasako.com,,https://www.facebook.com/tanakaasakooffice/,,,,
,,小松久子,こまつ　ひさこ,女,64,東京・生活者ネットワーク,現,http://komatsu.seikatsusha.me/,https://twitter.com/komachisa,https://www.facebook.com/hisako.komatsu1,,,,
,,あかねがくぼかよ子,あかねがくぼ　かよこ,女,41,都民ファーストの会,新,http://a-kayo.com,https://twitter.com/k_akanegakubo,https://www.facebook.com/akanegakubokayoko/,,,,
,,原田あきら,はらだ　あきら,男,42,日本共産党,新,http://www.yuiyuidori.net/jcpskd-harada/,http://twitter.com/harada_akira,,,,,
,,高橋しょうご,たかはし　しょうご,男,33,無所属,新,http://ameblo.jp/shogotakahashi-tosei,,,,,,
,,北島くにひこ,きたじま　くにひこ,男,57,都政を革新する会,新,http://www.tokakushin.org/wp/,https://twitter.com/kjmirai,,,,,
,,小宮あんり,こみや　あんり,女,41,自由民主党,現,http://www.komiya-anri.com/,,,,,,
,,西村まさみ,にしむら　まさみ,女,53,民進党,新,http://www.nishimura-masami.tokyo,,,,,,
,,まつば多美子,まつば　たみこ,女,54,公明党,現,http://www.tamichan.net/,,https://www.facebook.com/%E3%81%BE%E3%81%A4%E3%81%B0%E5%A4%9A%E7%BE%8E%E5%AD%90-1145822075512440/,,,,
,,鳥居こうすけ,とりい　こうすけ,男,46,都民ファーストの会,新,https://www.toriikosuke.info,,,,,,
,,早坂よしひろ,はやさか　よしひろ,男,48,自由民主党,現,http://www.tokyo-hayasaka.com,https://twitter.com/mrbousai,https://www.facebook.com/yoshihiro.hayasaka.7,http://www.youtube.com/user/mrbousai,,,
,,菅沢治希,すがさわ　はるき,男,34,地方議員ゼロの会,新,https://www.chihougiinzero-no-kai.com,,,,,,
豊島区,,,,,,,,,,,,,,
,,泉谷つよし,いづみや　つよし,男,51,民進党,元,なし,,,,,,
,,本橋ひろたか,もとはし　ひろたか,男,55,都民ファーストの会,新,http://www.motohashi-hirotaka.jp,https://twitter.com/mr_motohashi,https://www.facebook.com/tominfirst7/,,,,
,,堀こうどう,ほり　こうどう,男,52,自由民主党,現,http://www.hori-koudou.com/,https://twitter.com/horikoudou1964,http://www.facebook.com/horikoudou,,,,
,,米倉春奈,よねくら　はるな,女,29,日本共産党,現,http://kouho.jcp-tokyo.net/yonekura/,https://twitter.com/yonekura_haruna,https://www.facebook.com/yonekuraharuna/,https://www.youtube.com/playlist?list=PLHsLS2_dxXZAKb6uvypaUmGmzpo53_c7X,,,
